,Title,Keywords,Description,sector_agriculture,sector_LULUCF,matches,count_matches
1728,"Third Energy Package (Directive on electricity 2009/72/EC, repealing Directive 2003/54/EC and Directive on gas 2009/73/EC, repealing Directive 2003/55/EC)","Institutions / Administrative Arrangements, Energy Supply","The development of a resilient and integrated energy market across the EU - the Internal Energy Market - has been supported by the subsequent Energy Packages. The First Energy Package concerned common rules for the internal market in electricity and for the internal market in natural gas. It was updated in 2003 by the Second Energy Package, which enabled new gas and electricity suppliers to enter Member States' markets and enabled consumers to choose their own gas and electricity suppliers.

The Third Energy Package:
â€¢ regulates transmission network ownership by ensuring a clear separation of supply and production activities from network operation through three models of organisation: full â€˜ownership unbundling', independent system operator and independent transmission operator;
â€¢ ensures more effective regulatory oversight from truly independent national energy regulators, strengthening and harmonising the competences and the independence of national regulators so as to allow effective and non-discriminatory access to the transmission networks;
â€¢ reinforces consumer protection and ensures the protection of vulnerable consumers;
â€¢ regulates third party access to gas storage and liquefied natural gas (LNG) facilities, and lays down rules concerning transparency and regular reporting about gas reserves;
â€¢ promotes regional solidarity by requiring Member States to co-operate in the event of severe disruptions of gas supply, by co-ordinating national emergency measures and developing gas interconnections.",0,0,,0
1755,Act on State guarantees and export guarantees granted to industry for investments promoting environmental protection (609/1973),"Institutions / Administrative Arrangements, Energy Supply, Energy Demand","The act (amending many existing acts) proposes to provide state guarantees (not exceeding EUR100m, USD125m) for investments and credit for Finnish industries (regardless of size of the company size) that carry out investments (inside Finland or abroad) on environmental protection that include renewable energy products, energy recover and energy efficiency projects.The criteria specifies appropriateness, effectiveness and through risk assessments (especially for the investments abroad). The act aims to promote the reduction of carbon dioxide emissions in the aviation sector in a cost-effective and economical way.",0,0,,0
1768,Commission Decisions 2009/300/EC and 2018/59 on the ecological criteria for the award of the Community Eco-label to televisions,"Institutions / Administrative Arrangements, Energy Demand","<div>The Commission Decision 2009/300/EC establishes the revised ecological criteria for the award of the Community Eco-label to televisions. In line with <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32010R0066"">Regulation (EC) No 66/2010</a> on Eco-Labelling, one of the key criterion to gain the label is energy efficiency. The document specifies that the manufacturer shall display the information that energy efficiency cuts energy consumption and thus saves money by reducing electricity bills. Commission Decision 2018/59 tightens the maximum energy consumption and specifications of the Energy Efficiency Index set out in Decision 2009/300/EC.</div>",0,0,,0
1841,Law 4685/2020 on the reform of the environmental legislation and the renewable energy sources licensing process,Renewables,"<div>This law was published in the Official Gazette A' 92/2020 on May 5, 2020, and aims at easing the environmental licensing procedure as well as fostering the installation of new renewable energy capacity. Photovoltaic projects under 1MW are exempted from seeking a license. The renewable energy category comprises wind turbines, photovoltaic and hydroelectric power plants. It also harmonises Greek law with EU Directives 2018/844/EU and 2019/692/EU.&nbsp;</div>",0,0,,0
1842,"Law 4643/2019 on Energy market liberalisation, PPC modernisation, DEPA privatisation and RES support and other provisions",Renewables,"<div>This law aims at liberalising the Greek energy market, modernise the Public Power Corporation (PPC), privatise the Public Natural Gas Company (DEPA) and updates the support for renewable energy. It also transposes the EU Regulation 1227/2011 on Energy Market Integrity and Transparency. The document&nbsp;</div>",0,0,,0
1850,"Law 3831/2010 on 'Revision of the vehicle taxes regime for vehicles, abolishment of the vehicles recycling measures (scrappage scheme) and measures for tackling atmospheric pollution'",Transportation,"This law regulates traffic taxes for different vehicles. It divides cars into four classes from A (vehicles with the lowest emissions) to D (vehicles with the highest emissions). The revised taxes are based on these four classes and on cylinder capacity. The legislation exempts from annual vehicle taxes privately owned hybrid, electric, and hydrogen passenger cars in classes A and B with capacity lower than 1,929cc. As for A and B class hybrid, electric or hydrogen vehicles with a cylinder capacity higher than 1,929cc, the relevant vehicle taxes are cut by half. Hybrid and low?emission vehicles are also exempt.",0,0,,0
1851,"Law 3851/2010 on 'Accelerating the development of Renewable Energy Sources to address climate change and other provisions on jurisdiction of the Ministry of Environment, Energy and Climate Change'","Institutions / Administrative Arrangements, Energy Supply","<div>This law extends the scope of Law 3468/2006 ('Electricity Production of Renewable Energy Sources'). It introduces a pricing system for each MWh produced by different RES (onshore and offshore wind power, photovoltaic systems, hydroelectric power, solar power, geothermal energy and biomass. Under this law, producers of electricity (supplying buildings) from RES are exempt from the special duty (article 25 of L3468/2006) in order to increase the share of renewables in the energy mix and to make renewables more attractive to producers and consumers. A technical study on environmental and financial feasibility of installing alternative systems for energy supply for all new buildings is required to be submitted to the competent authorities.<br><br>&nbsp;The law simplifies the licensing procedure, improving the feed-in-tariff scheme (in particular for wind and solar power), reducing existing barriers at local level, and setting out specific regulations for the use of RES in buildings. The law also expands the scope of L3661/2008 ('Measures for the reduction of energy consumption in buildings'). According to the present law, all new buildings that apply for construction licence after 1 January 2011 must have a solar energy water?heating system. In addition, the total energy consumption needs in all new buildings should be met by RES systems by 31 December 2019; for public sector buildings this obligation should be met by 31 December 2014.<br><br>&nbsp;Finally, to achieve the national target of 20% share of renewable energy in final energy consumption, the law establishes a 40% RES in electricity production target, 20% RES in heating and cooling target, and 10% RES in transport target.</div>",0,0,,0
1852,"Law 3855/2010 on 'Measures to improve energy efficiency in end?use, energy services and other provisions'",Energy Demand,"This piece of legislation sets out national targets for energy saving (9% of the average annual final value of energy consumption) and defines the measures to be implemented in order to meet these goals, in line with the EU 20-20-20 strategy. In addition, the law defines the institutional and financial framework needed to improve the energy end-use efficiency, creating some of the conditions for the development and promotion of a market for energy services. It also provides other energy improvement measures to final consumers.",0,0,,0
1857,Law on climate protection,Net Zero,"<div>The Hungarian parliament passed a law on climate protection committing to protect the natural heritage and “the natural conditions of the way of life that we Hungarians have created together in this country”. The document stresses that the scope of the policy set out in the law must apply to the whole Carpathian Basin, be in line with international and EU commitments, allow for new nuclear energy and proportionate measures.<br><br>The law is based on a <a href=""https://www.parlament.hu/irom41/07021/07021-0010.pdf "">bill</a> that aimed at declaring national emergency over the climate crisis. Instead, it sets targets of GHG emission reductions and a climate neutrality goal for 2050.&nbsp;<br><br>During the same parliamentary session, a provision allowing municipalities to regulate emergency incineration by decree was repealed. The provision also determines that&nbsp; the National Climate Protection Authority has access to the National Environmental Information System for its tasks related to the EU ETS.</div>",0,0,,0
1864,Governmental Decree No.176 of 2008 on certification of buildings energetic features,Energy Demand,"This Decree defines certification criteria of energy features in buildings. It obligates the issuance of energy certificate in the following areas: occupancy permission of the new estates; long term real estate rentals and buildings with net area over 1000 square meters; and occupancy by public authorities and institutions providing public services. The certification is voluntary for buildings and flats that were sold until 31 December 2011; from 1 January 2012 the energy certificate is compulsory.<br />
<br />
This decree transposes European Commission Directives on energy end-use efficiency and energy services.",0,0,,0
1865,National Renewable Energy Action Plan (NREAP) for 2010-2020,"Adaptation, Energy Supply, Energy Demand","This action plan constitutes the basis for action on resource efficiency and sustainability. The strategic objective of the EU stipulates a 13% increase in renewable energy capacity by 2020. The NREAP supersedes and overwrites the preceding target and renewable energy policy, and aims to increase renewable energy within the total gross energy consumption by 14.65% by 2020. In addition, there is a target of renewable energy accounting for 4.3% of gross final consumption of energy in 2005.<br />
<br />
The NREAP identifies significant potential in renewable energy sources, but many of them face environmental concerns as barriers and funding limitation. Some 16-17MW of hydropower could realistically be installed by 2020, but environmental concerns are limiting factors. Wind energy potential reaches several thousand MW, while also considered environmentally friendly, but it needs economic justification as it is highly intermittent. Geothermal energy potential in Hungary exceeds the global average but lack of funding is a significant barrier. Solar energy potential amounts to several tens of thousands of MW, but the most significant limiting factor is large investment cost. Heat pumps have theoretical potential of several hundred PJ, but face funding limitations. Biogas production potential in theory could exceed as much as 20% of energy demand for 2020. Biofuels have significant potential, but are limited by the financial burden of replacing current vehicles. The target trajectory of renewable energy by end use in 2020 is to increase to: 18.9% of heating and cooling; 10.9% of electricity; and 10% of transport.<br />
<br />
The NREAP provides that the following will be financed: green economy development, research and development, adaptation to use of green electricity, biofuel benefits, tariffs and tax issues. It also aims to formulate incentives through regulatory and comprehensive programmes on sustainable energy management, renewable energy, simplification of authorisation procedures, establishment of regional energy agencies, and review of energy certification procedures for buildings. Social measures such as employment, national and regional training, social awareness-raising and network of energy experts are among the planned measures outlined in the action plan. Specific laws and programmes in question and associated details are included at the end of the NREAP.",0,0,,0
